section_level,section_id,section_number,section_name,path,url
1,introduction,1,Introduction,introduction.html,https://r4ds.had.co.nz/introduction.html#introduction
2,what-you-will-learn,1.1,What you will learn,introduction.html,https://r4ds.had.co.nz/introduction.html#what-you-will-learn
2,how-this-book-is-organised,1.2,How this book is organised,introduction.html,https://r4ds.had.co.nz/introduction.html#how-this-book-is-organised
2,what-you-wont-learn,1.3,What you won’t learn,introduction.html,https://r4ds.had.co.nz/introduction.html#what-you-wont-learn
3,big-data,1.3.1,Big data,introduction.html,https://r4ds.had.co.nz/introduction.html#big-data
3,python-julia-and-friends,1.3.2,"Python, Julia, and friends",introduction.html,https://r4ds.had.co.nz/introduction.html#python-julia-and-friends
3,non-rectangular-data,1.3.3,Non-rectangular data,introduction.html,https://r4ds.had.co.nz/introduction.html#non-rectangular-data
3,hypothesis-confirmation,1.3.4,Hypothesis confirmation,introduction.html,https://r4ds.had.co.nz/introduction.html#hypothesis-confirmation
2,prerequisites,1.4,Prerequisites,introduction.html,https://r4ds.had.co.nz/introduction.html#prerequisites
3,r,1.4.1,R,introduction.html,https://r4ds.had.co.nz/introduction.html#r
3,rstudio,1.4.2,RStudio,introduction.html,https://r4ds.had.co.nz/introduction.html#rstudio
3,the-tidyverse,1.4.3,The tidyverse,introduction.html,https://r4ds.had.co.nz/introduction.html#the-tidyverse
3,other-packages,1.4.4,Other packages,introduction.html,https://r4ds.had.co.nz/introduction.html#other-packages
2,running-r-code,1.5,Running R code,introduction.html,https://r4ds.had.co.nz/introduction.html#running-r-code
2,getting-help-and-learning-more,1.6,Getting help and learning more,introduction.html,https://r4ds.had.co.nz/introduction.html#getting-help-and-learning-more
2,acknowledgements,1.7,Acknowledgements,introduction.html,https://r4ds.had.co.nz/introduction.html#acknowledgements
2,colophon,1.8,Colophon,introduction.html,https://r4ds.had.co.nz/introduction.html#colophon
1,explore-intro,2,Introduction,explore-intro.html,https://r4ds.had.co.nz/explore-intro.html#explore-intro
1,data-visualisation,3,Data visualisation,data-visualisation.html,https://r4ds.had.co.nz/data-visualisation.html#data-visualisation
2,introduction-1,3.1,Introduction,data-visualisation.html,https://r4ds.had.co.nz/data-visualisation.html#introduction-1
3,prerequisites-1,3.1.1,Prerequisites,data-visualisation.html,https://r4ds.had.co.nz/data-visualisation.html#prerequisites-1
2,first-steps,3.2,First steps,data-visualisation.html,https://r4ds.had.co.nz/data-visualisation.html#first-steps
3,the-mpg-data-frame,3.2.1,The mpg data frame,data-visualisation.html,https://r4ds.had.co.nz/data-visualisation.html#the-mpg-data-frame
3,creating-a-ggplot,3.2.2,Creating a ggplot,data-visualisation.html,https://r4ds.had.co.nz/data-visualisation.html#creating-a-ggplot
3,a-graphing-template,3.2.3,A graphing template,data-visualisation.html,https://r4ds.had.co.nz/data-visualisation.html#a-graphing-template
